id_entidad,estado,id_mpio,mpio_mty,id_localidad,localidad,id_ageb,folio_ageb,pop_total,viviendas_hab,pop_15_edu_incomp,pop_15_24_no_educ,pop_no_salud,pop_hacinamiento,viviendas_no_excusado,viviendas_piso_tierra,viviendas_no_agua,viviendas_no_drenaje,viviendas_no_ee,rezago_social
19,Nuevo León,39,Monterrey,1,MONTERREY,107A,190390001107A,2340,636,0.352,0.696,0.300,3.883,2.516,1.415,0.157,0.157,0.472,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,114A,190390001114A,1521,491,0.051,0.274,0.163,0.000,0.815,0.815,0.204,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,139A,190390001139A,1181,352,0.298,0.497,0.168,0.000,7.102,1.989,0.284,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,146A,190390001146A,2190,703,0.156,0.543,0.247,1.775,3.698,0.142,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,153A,190390001153A,296,93,0.148,0.587,0.247,0.000,16.129,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,160A,190390001160A,2050,591,0.245,0.440,0.180,0.518,2.030,1.523,0.000,0.000,0.338,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,178A,190390001178A,2091,669,0.150,0.366,0.139,0.305,1.943,0.299,0.149,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,185A,190390001185A,2641,670,0.333,0.559,0.240,4.954,10.448,1.493,0.299,0.448,0.149,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,192A,190390001192A,2064,681,0.112,0.331,0.139,0.000,0.147,0.147,0.294,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,210A,190390001210A,2126,716,0.063,0.184,0.152,0.141,0.838,0.698,0.000,0.140,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,228A,190390001228A,2662,713,0.036,0.277,0.109,0.149,3.787,1.122,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,235A,190390001235A,2399,667,0.055,0.278,0.130,0.000,11.094,0.000,0.150,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,267A,190390001267A,4014,1054,0.203,0.472,0.210,1.616,0.095,1.139,0.095,0.095,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,281A,190390001281A,108,17,0.091,0.423,0.056,0.000,5.882,0.000,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,299A,190390001299A,5782,1397,0.445,0.737,0.333,14.141,2.004,3.722,7.301,0.787,0.215,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,317A,190390001317A,830,194,0.290,0.582,0.335,10.983,9.794,1.031,80.928,6.701,0.515,Medio
19,Nuevo León,39,Monterrey,1,MONTERREY,331A,190390001331A,4503,986,0.477,0.777,0.363,5.139,1.521,1.116,0.203,0.406,0.101,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,349A,190390001349A,3068,717,0.204,0.617,0.206,0.281,0.697,0.139,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,356A,190390001356A,1516,395,0.036,0.270,0.130,0.000,5.823,2.278,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,363A,190390001363A,3636,659,0.453,0.766,0.321,8.147,5.463,4.249,1.517,0.759,0.455,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,370A,190390001370A,4248,1035,0.452,0.763,0.270,12.247,6.280,2.415,2.995,4.638,0.193,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,395A,190390001395A,287,82,0.061,0.197,0.206,0.000,6.098,6.098,0.000,0.000,0.000,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,406A,190390001406A,4628,1014,0.497,0.790,0.355,9.710,3.748,3.649,0.493,0.296,0.099,Bajo
19,Nuevo León,39,Monterrey,1,MONTERREY,413A,190390001413A,2077,629,0.214,0.565,0.234,0.319,0.000,0.000,0.000,0.000,0.000,Bajo
